Date,copepods ,Cirripedia,euph. larvae,euphausid,Ostracods ,Oiklioplera,Bryozoan Larvae(m3),Decapod,Cnidarians,Annelids,Malacostra,Cladocera,Chaetognath,mollusc/gastropod,Other larvae,Total
2009-02-24,56.36,0.13,0,0.51,1.65,1.4,0.13,0.76,2.42,0,0.25,0,0.51,0,0.89,65.01
2009-03-02,1.15,70.23,0,0.25,1.27,0.25,0.38,1.02,1.27,0,0.89,0,0.51,0,0,77.35
2009-03-10,147.46,134.86,40.08,0.64,1.4,7.63,1.78,0.76,0.51,2.93,0.76,0,0.76,0,0.25,339.82
2009-03-20,68.58,20.87,41.09,0.64,1.4,7.63,4.71,1.53,0.51,1.4,0.13,0,0.13,0.25,0.38,149.49
2009-03-24,88.04,14.89,20.1,1.91,30.15,6.49,2.29,1.91,1.02,1.53,0,0,0.25,0,0.51,169.21
2009-03-26,159.8,26.72,27.23,3.82,10.94,14.5,4.07,18.58,1.78,9.16,0.25,0,2.29,0.51,0,281.3
2009-03-30,497.2,37.15,85.5,3.56,21.37,10.18,18.83,25.45,6.62,11.2,0,0,0.51,0,1.02,725.19
2009-04-03,395.42,18.32,34.1,34.61,17.81,1.53,18.32,14.76,5.6,4.58,0.51,0,0.127226463,1.02,2.29,548.98
2009-04-07,209.16,8.14,15.78,20.36,13.23,1.02,2.04,2.54,0,1.53,0.51,0,0,0,0,274.3
2009-04-09,321.63,8.65,25.45,22.39,41.22,2.04,10.69,3.56,8.14,4.58,2.04,0,0,0,4.58,454.96
2009-04-14,609.67,23.92,9.67,35.62,9.67,3.56,5.09,8.65,5.09,2.54,4.07,0,1.017811705,1.53,1.02,721.12
2009-04-17,511.96,537.4,162.85,18.32,14.25,59.03,19.34,9.16,2.04,8.14,2.04,0,2.03562341,2.04,3.05,1351.65
2009-04-20,500.76,278.88,170.99,14.25,12.21,129.26,20.36,4.07,7.12,2.04,0,0,2.03562341,5.09,11.7,1158.78
2009-04-23,670.74,406.11,250.38,8.14,46.82,71.25,39.69,11.2,11.2,10.18,1.02,0,8.142493639,3.05,536.39,2074.3
2009-04-27,358.27,238.17,61.07,2.04,17.3,39.69,32.57,8.14,11.2,9.16,8.14,0,9.160305344,2.04,5.09,802.04
2009-05-01,355.22,142.49,168.96,3.05,11.2,37.66,12.21,0,4.07,6.87,2.04,0,6.106870229,1.02,9.16,760.05
2009-05-06,1832.06,95.67,142.49,16.28,54.96,2.04,8.14,6.11,4.07,6.11,6.11,0,6.106870229,4.07,0,2184.22
2009-05-08,885.5,221.88,79.39,14.25,50.89,73.28,14.25,6.11,40.71,14.25,6.11,0,10.17811705,0,34.73,1451.53
2009-05-11,447.84,113.99,32.57,14.25,73.28,46.82,40.71,0,18.32,28.5,0,0,18.32061069,50.89,8.14,893.64
